"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 29 14:21:38 CST 2024","Tue Oct 29 14:21:38 CST 2024","226","testcase","test_sysorgpage","TestSysorgPage","","","组织模块",""
"passed","Tue Oct 29 14:22:07 CST 2024","Tue Oct 29 14:22:07 CST 2024","141","testcase","test_userpage","TestUserPage","","","用户模块",""
"passed","Tue Oct 29 14:18:52 CST 2024","Tue Oct 29 14:18:52 CST 2024","143","testcase","test_abnormalpage","TestAbnormalPage","","","异常记录模块",""
"passed","Tue Oct 29 14:19:56 CST 2024","Tue Oct 29 14:19:56 CST 2024","93","testcase","test_facepage","TestFacePage","","","人脸审核模块",""
"passed","Tue Oct 29 14:19:24 CST 2024","Tue Oct 29 14:19:24 CST 2024","180","testcase","test_berthpage","TestBerthPage","","","泊位模块",""
"passed","Tue Oct 29 14:19:40 CST 2024","Tue Oct 29 14:19:41 CST 2024","119","testcase","test_centralpage","TestCentralPage","","","车上报到/车道模块",""
"passed","Tue Oct 29 14:19:23 CST 2024","Tue Oct 29 14:19:23 CST 2024","144","testcase","test_berthpage","TestBerthPage","","","泊位模块",""
"passed","Tue Oct 29 14:22:09 CST 2024","Tue Oct 29 14:22:14 CST 2024","4600","testcase","test_userpage","TestUserPage","","","用户模块",""
"passed","Tue Oct 29 14:19:48 CST 2024","Tue Oct 29 14:19:48 CST 2024","90","testcase","test_devicepage","TestDevicePage","","","设备管理模块",""
"passed","Tue Oct 29 14:19:58 CST 2024","Tue Oct 29 14:19:58 CST 2024","122","testcase","test_gateinpage","TestGateInPage","","","回场模块",""
"passed","Tue Oct 29 14:19:25 CST 2024","Tue Oct 29 14:19:25 CST 2024","148","testcase","test_berthpage","TestBerthPage","","","泊位模块",""
"passed","Tue Oct 29 14:22:22 CST 2024","Tue Oct 29 14:22:22 CST 2024","122","testcase","test_userpage","TestUserPage","","","用户模块",""
"passed","Tue Oct 29 14:18:52 CST 2024","Tue Oct 29 14:18:52 CST 2024","171","testcase","test_accesspage","TestAccessPage","","","门禁/访客设备",""
"passed","Tue Oct 29 14:19:38 CST 2024","Tue Oct 29 14:19:39 CST 2024","853","testcase","test_cashpage","TestCashPage","","","收银/晨会/权限模块",""
"passed","Tue Oct 29 14:19:49 CST 2024","Tue Oct 29 14:19:49 CST 2024","118","testcase","test_devicepage","TestDevicePage","","","设备管理模块",""
"passed","Tue Oct 29 14:19:55 CST 2024","Tue Oct 29 14:19:55 CST 2024","97","testcase","test_emppage","TestEmpPage","","","人车一致业务",""
"passed","Tue Oct 29 14:19:27 CST 2024","Tue Oct 29 14:19:27 CST 2024","133","testcase","test_buspage","TestBusPage","","","车辆模块",""
"passed","Tue Oct 29 14:20:22 CST 2024","Tue Oct 29 14:20:22 CST 2024","102","testcase","test_rolepage","TestRolePage","","","角色模块",""
"passed","Tue Oct 29 14:19:27 CST 2024","Tue Oct 29 14:19:27 CST 2024","106","testcase","test_bloodpage","TestBloodPage","","","血压/血氧模块",""
"passed","Tue Oct 29 14:18:56 CST 2024","Tue Oct 29 14:18:56 CST 2024","142","testcase","test_attendpage","TestAttendPage","","","报到模块",""
"passed","Tue Oct 29 14:19:32 CST 2024","Tue Oct 29 14:19:38 CST 2024","6790","testcase","test_cashpage","TestCashPage","","","收银/晨会/权限模块",""
"passed","Tue Oct 29 14:19:29 CST 2024","Tue Oct 29 14:19:30 CST 2024","162","testcase","test_buspage","TestBusPage","","","车辆模块",""
"passed","Tue Oct 29 14:19:56 CST 2024","Tue Oct 29 14:19:56 CST 2024","145","testcase","test_exhortationpage","TestExhortationPage","","","岗前叮嘱模块",""
"passed","Tue Oct 29 14:20:14 CST 2024","Tue Oct 29 14:20:14 CST 2024","130","testcase","test_patrolpage","TestPatrolPage","","","巡更模块",""
"passed","Tue Oct 29 14:19:27 CST 2024","Tue Oct 29 14:19:28 CST 2024","122","testcase","test_buspage","TestBusPage","","","车辆模块",""
"passed","Tue Oct 29 14:19:49 CST 2024","Tue Oct 29 14:19:49 CST 2024","138","testcase","test_devicepage","TestDevicePage","","","设备管理模块",""
"passed","Tue Oct 29 14:19:41 CST 2024","Tue Oct 29 14:19:41 CST 2024","111","testcase","test_centralpage","TestCentralPage","","","车上报到/车道模块",""
"passed","Tue Oct 29 14:20:05 CST 2024","Tue Oct 29 14:20:05 CST 2024","266","testcase","test_noticepage","TestNoticePage","","","公告模块",""
"passed","Tue Oct 29 14:18:58 CST 2024","Tue Oct 29 14:18:58 CST 2024","379","testcase","test_attendpage","TestAttendPage","","","报到模块",""
"passed","Tue Oct 29 14:19:46 CST 2024","Tue Oct 29 14:19:46 CST 2024","204","testcase","test_dahuapage","TestDahuaPage","","","大华通道/大华门禁模块",""
"passed","Tue Oct 29 14:20:15 CST 2024","Tue Oct 29 14:20:15 CST 2024","121","testcase","test_positionpage","TestPositionPage","","","停车场模块",""
"passed","Tue Oct 29 14:22:29 CST 2024","Tue Oct 29 14:22:29 CST 2024","128","testcase","test_washpage","TestWashPage","","","洗车报表/洗车记录/洗车模块",""
"passed","Tue Oct 29 14:19:30 CST 2024","Tue Oct 29 14:19:30 CST 2024","121","testcase","test_buspage","TestBusPage","","","车辆模块",""
"passed","Tue Oct 29 14:19:29 CST 2024","Tue Oct 29 14:19:29 CST 2024","151","testcase","test_buspage","TestBusPage","","","车辆模块",""
